"1","Président","1","2"
"2","Président","14","3"
"3","Resp. IC","14","4"
"4","Resp. juniors","14","5"
"5","Resp. IC","4","6"
"6","Resp. juniors","4","7"
"7","Président","15","8"
"8","Resp. IC","15","9"
"9","Président","16","10"
"10","Resp. IC","16","11"
"11","Resp. juniors","16","12"
"12","Président","17","13"
"13","Président","8","14"
"14","Resp. IC","8","15"
"15","Resp. juniors","8","16"
"16","Président","10","17"
"17","Resp. IC","10","18"
"18","Resp. juniors","10","19"
"19","Resp. IC","18","20"
"20","Resp. juniors","18","21"
"21","Resp. IC","1","22"
"22","Resp. juniors","1","23"
"23","Président","6","24"
"24","Resp. IC","6","25"
"25","club","21","26"
"26","Président","21","27"
"27","Resp. juniors","21","28"
"28","club","13","29"
"29","Resp. IC","13","30"
"30","Resp. juniors","13","31"
"31","Resp.admin.","19","32"
"32","Resp. IC","19","33"
"33","Resp. juniors","19","34"
"34","Président","7","35"
"35","Resp. IC","7","36"
"36","Resp. juniors","7","37"
"37","Président","9","38"
"38","Resp. IC","9","39"
"39","Resp. juniors","9","40"
"40","Président","11","41"
"41","Resp. IC","11","42"
"42","Resp. juniors","11","43"
"43","Resp. juniors","11","44"
"44","Président","22","45"
"45","Resp. IC","22","46"
"46","Resp. juniors","22","47"
"47","Président","23","48"
"48","Vice-Président","23","49"
"49","Secrétaire","23","50"
"50","Resp. IC","2","51"
"51","Resp. juniors","2","52"
"52","co-Président","3","53"
